DRGVER,DRG,DRG_Explained,MDC,MedSurg_flag,MDC_Explained
34,NA,.: MISSING,NA,NA,.: MISSING
34,1,1: HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,0,P,0: PRINCIPAL DX CANNOT BE ASSIGNED TO MDC
34,2,2: HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,0,P,0: PRINCIPAL DX CANNOT BE ASSIGNED TO MDC
34,3,"3: ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",0,P,0: PRINCIPAL DX CANNOT BE ASSIGNED TO MDC
34,4,"4: TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",0,P,0: PRINCIPAL DX CANNOT BE ASSIGNED TO MDC
34,5,5: LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,0,P,0: PRINCIPAL DX CANNOT BE ASSIGNED TO MDC
34,6,6: LIVER TRANSPLANT W/O MCC,0,P,0: PRINCIPAL DX CANNOT BE ASSIGNED TO MDC
34,7,7: LUNG TRANSPLANT,0,P,0: PRINCIPAL DX CANNOT BE ASSIGNED TO MDC
34,8,8: SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,0,P,0: PRINCIPAL DX CANNOT BE ASSIGNED TO MDC
34,10,10: PANCREAS TRANSPLANT,0,P,0: PRINCIPAL DX CANNOT BE ASSIGNED TO MDC
34,11,"11: TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",0,P,0: PRINCIPAL DX CANNOT BE ASSIGNED TO MDC
34,12,"12: TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",0,P,0: PRINCIPAL DX CANNOT BE ASSIGNED TO MDC
34,13,"13: TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",0,P,0: PRINCIPAL DX CANNOT BE ASSIGNED TO MDC
34,14,14: ALLOGENEIC BONE MARROW TRANSPLANT,0,P,0: PRINCIPAL DX CANNOT BE ASSIGNED TO MDC
34,16,16: AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,0,P,0: PRINCIPAL DX CANNOT BE ASSIGNED TO MDC
34,17,17: AUTOLOGOUS BONE MARROW TRANSPLANT W/O CC/MCC,0,P,0: PRINCIPAL DX CANNOT BE ASSIGNED TO MDC
34,20,20: INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,1,P,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
34,21,21: INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,1,P,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
34,22,22: INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W/O CC/MCC,1,P,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
